Time,Date,light,temperature,humidity,sunlight
11:00:32,7-7-2022,497,23.60,55.00,262
11:00:33,7-7-2022,88,23.60,55.00,262
11:00:34,7-7-2022,475,23.50,60.00,262
11:00:36,7-7-2022,342,23.50,60.00,262
11:00:37,7-7-2022,655,23.60,59.00,262
11:00:38,7-7-2022,655,23.60,59.00,262
11:00:39,7-7-2022,645,23.60,59.00,262
11:00:41,7-7-2022,655,23.60,59.00,263
11:00:42,7-7-2022,655,23.60,59.00,262
11:00:43,7-7-2022,675,23.60,59.00,263
11:00:44,7-7-2022,675,23.60,59.00,264
11:00:46,7-7-2022,665,23.60,59.00,263
11:00:47,7-7-2022,645,23.60,58.00,264
11:00:48,7-7-2022,655,23.60,58.00,262
11:00:49,7-7-2022,655,23.70,58.00,265
11:00:50,7-7-2022,660,23.70,58.00,263
11:00:52,7-7-2022,655,23.70,58.00,264
11:00:53,7-7-2022,645,23.70,58.00,262
11:00:54,7-7-2022,631,23.70,58.00,263
11:00:55,7-7-2022,616,23.70,58.00,263
11:00:57,7-7-2022,655,23.70,58.00,263
11:00:58,7-7-2022,655,23.70,58.00,262
11:00:59,7-7-2022,660,23.70,58.00,262
11:01:00,7-7-2022,655,23.70,58.00,263
11:01:02,7-7-2022,635,23.70,57.00,261
11:01:03,7-7-2022,655,23.70,57.00,262
11:01:04,7-7-2022,570,23.70,58.00,261
11:01:05,7-7-2022,655,23.70,58.00,262
11:01:06,7-7-2022,650,23.70,57.00,262
11:01:08,7-7-2022,660,23.70,57.00,262
11:01:09,7-7-2022,650,23.70,58.00,264
11:01:10,7-7-2022,640,23.70,58.00,264
11:01:11,7-7-2022,640,23.70,58.00,264
11:01:13,7-7-2022,602,23.70,58.00,261
11:01:14,7-7-2022,650,23.70,58.00,263
11:01:15,7-7-2022,516,23.70,58.00,262
11:01:16,7-7-2022,607,23.70,57.00,263
11:01:18,7-7-2022,598,23.70,57.00,264
11:01:19,7-7-2022,607,23.70,57.00,263
11:01:20,7-7-2022,611,23.70,57.00,262
11:01:21,7-7-2022,611,23.70,58.00,263
11:01:23,7-7-2022,607,23.70,58.00,263
11:01:24,7-7-2022,611,23.70,57.00,264
11:01:25,7-7-2022,486,23.70,57.00,262
11:01:26,7-7-2022,421,23.70,57.00,263
11:01:28,7-7-2022,635,23.70,57.00,262
11:01:29,7-7-2022,516,23.70,57.00,261
11:01:30,7-7-2022,505,23.70,57.00,262
11:01:31,7-7-2022,645,23.70,57.00,262
11:01:32,7-7-2022,650,23.70,57.00,261
11:01:34,7-7-2022,631,23.80,57.00,262
11:01:35,7-7-2022,650,23.80,57.00,262
11:01:36,7-7-2022,645,23.80,57.00,262
11:01:37,7-7-2022,645,23.80,57.00,261
11:01:39,7-7-2022,645,23.80,57.00,262
11:01:40,7-7-2022,640,23.80,57.00,263
11:01:41,7-7-2022,645,23.80,57.00,263
11:01:42,7-7-2022,650,23.80,57.00,261
11:01:44,7-7-2022,650,23.80,57.00,262
11:01:45,7-7-2022,655,23.80,57.00,263
11:01:46,7-7-2022,650,23.80,57.00,261
11:01:47,7-7-2022,631,23.80,57.00,263
11:01:48,7-7-2022,602,23.80,57.00,263
11:01:50,7-7-2022,593,23.80,57.00,263
11:01:51,7-7-2022,482,23.80,57.00,263
11:01:52,7-7-2022,579,23.80,57.00,262
11:01:53,7-7-2022,645,23.80,57.00,264
11:01:55,7-7-2022,621,23.80,57.00,261
11:01:56,7-7-2022,621,23.80,56.00,263
11:01:57,7-7-2022,635,23.80,56.00,262
11:01:58,7-7-2022,635,23.80,57.00,263
11:02:00,7-7-2022,621,23.80,57.00,262
